Product Category,Client,Year,Month,Gross Profit,GSV
Laundry Wash,Spar,2020,January,9710.086067,24777.53213
Laundry Wash,Spar,2021,January,15937.10837,44220.49208
Laundry Wash,Spar,2022,January,8689.079665,21510.93274
Laundry Wash,Spar,2023,January,12467.08828,60948.49792
Laundry Wash,Spar,2020,February,23213.91105,47927.21678
Laundry Wash,Spar,2021,February,16817.04541,43606.08845
Laundry Wash,Spar,2022,February,3170.359784,13551.51077
Laundry Wash,Spar,2023,February,4120.482974,12684.27451
Laundry Wash,Spar,2020,March,13874.40845,38689.62321
Laundry Wash,Spar,2021,March,13331.5136,44073.03757
Laundry Wash,Spar,2022,March,2738.196354,10354.69896
Laundry Wash,Spar,2023,March,13768.35584,49570.23919
Laundry Wash,Spar,2020,April,11772.277,29232.32187
Laundry Wash,Spar,2021,April,9361.519568,23648.28424
Laundry Wash,Spar,2022,April,4360.517157,14292.91731
Laundry Wash,Spar,2023,April,25123.12797,60554.35095
Laundry Wash,Spar,2020,May,15766.7625,32921.21473
Laundry Wash,Spar,2021,May,9156.764861,19393.66975
Laundry Wash,Spar,2022,May,3245.101293,11379.58582
Laundry Wash,Spar,2023,May,17268.64172,42986.13049
Laundry Wash,Spar,2020,June,19527.6182,37886.33617
Laundry Wash,Spar,2021,June,4374.89826,16992.97763
Laundry Wash,Spar,2022,June,6693.822341,24156.071
Laundry Wash,Spar,2020,July,28335.1991,59095.80985
Laundry Wash,Spar,2021,July,11987.76319,34329.60604
Laundry Wash,Spar,2022,July,3653.106757,9171.071844
Laundry Wash,Spar,2020,August,21309.1572,37323.70121
Laundry Wash,Spar,2021,August,12041.44201,31507.91937
Laundry Wash,Spar,2022,August,14154.04541,40768.13749
Laundry Wash,Spar,2020,September,23187.58708,54071.54137
Laundry Wash,Spar,2021,September,6409.033716,12917.8025
Laundry Wash,Spar,2022,September,11497.86683,32828.47646
Laundry Wash,Spar,2020,October,18659.65891,51220.83281
Laundry Wash,Spar,2021,October,13342.50125,44432.53836
Laundry Wash,Spar,2022,October,5137.426608,88568.41075
Laundry Wash,Spar,2020,November,19257.48142,42755.76308
Laundry Wash,Spar,2021,November,2676.047768,15654.82362
Laundry Wash,Spar,2022,November,-4780.722941,53787.56498
Laundry Wash,Spar,2020,December,19681.83533,53845.10324
Laundry Wash,Spar,2021,December,17800.31728,42969.2562
Laundry Wash,Spar,2022,December,7815.746697,18020.15953
Cleaning,Spar,2020,January,6157.600502,14677.34147
Cleaning,Spar,2021,January,-1697.045291,14552.25506
Cleaning,Spar,2022,January,4374.596656,17051.55324
Cleaning,Spar,2023,January,22822.30862,86888.83624
Cleaning,Spar,2020,February,23324.15019,64128.92297
Cleaning,Spar,2021,February,23023.95534,34764.01891
Cleaning,Spar,2022,February,5417.646428,14502.89101
Cleaning,Spar,2023,February,808.7390341,3273.492475
Cleaning,Spar,2020,March,8111.372069,23457.20369
Cleaning,Spar,2021,March,20867.89155,58200.86791
Cleaning,Spar,2022,March,4779.638665,14057.54333
Cleaning,Spar,2023,March,2082.057975,4017.499707
Cleaning,Spar,2020,April,3204.506646,10476.1958
Cleaning,Spar,2021,April,12046.64378,21702.55678
Cleaning,Spar,2022,April,2457.6337,8590.759835
Cleaning,Spar,2023,April,5257.63983,13614.8419
Cleaning,Spar,2020,May,7534.817223,18935.12057
Cleaning,Spar,2021,May,3835.993045,8922.293952
Cleaning,Spar,2022,May,7944.027922,28275.40605
Cleaning,Spar,2023,May,2847.473853,9501.681368
Cleaning,Spar,2020,June,18181.04789,49855.33465
Cleaning,Spar,2021,June,2007.3757,6658.145293
Cleaning,Spar,2022,June,9853.765912,65587.54353
Cleaning,Spar,2020,July,23416.3658,51948.19483
Cleaning,Spar,2021,July,6252.811798,12240.70277
Cleaning,Spar,2022,July,14312.43615,56415.01802
Cleaning,Spar,2020,August,21727.58293,39954.32103
Cleaning,Spar,2021,August,2765.032081,7801.20489
Cleaning,Spar,2022,August,4859.693461,64453.55481
Cleaning,Spar,2020,September,9862.114225,31226.68515
Cleaning,Spar,2021,September,6421.770345,21354.72228
Cleaning,Spar,2022,September,13816.31568,63357.58814
Cleaning,Spar,2020,October,14148.5234,45065.45646
Cleaning,Spar,2021,October,3482.152112,9260.375303
Cleaning,Spar,2022,October,10736.27679,49618.54
Cleaning,Spar,2020,November,17098.00947,36489.24616
Cleaning,Spar,2021,November,1468.8494,4756.062071
Cleaning,Spar,2022,November,6366.880925,39127.96962
Cleaning,Spar,2020,December,19332.99935,44106.96706
Cleaning,Spar,2021,December,10866.38475,22126.95826
Cleaning,Spar,2022,December,30366.01866,87280.88278
Laundry Refreshment,Spar,2020,January,2614.859857,9006.478482
Laundry Refreshment,Spar,2021,January,3386.44691,6194.749084
Laundry Refreshment,Spar,2022,January,2122.395911,4645.761263
Laundry Refreshment,Spar,2023,January,5224.937344,14212.88614
Laundry Refreshment,Spar,2020,February,2247.497102,10932.57824
Laundry Refreshment,Spar,2021,February,3882.295219,10979.40283
Laundry Refreshment,Spar,2022,February,54.48282247,54.14990844
Laundry Refreshment,Spar,2023,February,340.4119591,3702.351517
Laundry Refreshment,Spar,2020,March,1441.923542,5890.257322
Laundry Refreshment,Spar,2021,March,-726.3658496,9331.058083
Laundry Refreshment,Spar,2022,March,418.0343681,729.2093039
Laundry Refreshment,Spar,2023,March,11746.16991,24073.62109
Laundry Refreshment,Spar,2020,April,3249.224914,12797.35348
Laundry Refreshment,Spar,2021,April,4148.576416,9023.596
Laundry Refreshment,Spar,2022,April,407.605761,1089.519933
Laundry Refreshment,Spar,2023,April,5005.257573,10439.20161
Laundry Refreshment,Spar,2020,May,1430.585893,2485.333161
Laundry Refreshment,Spar,2021,May,1854.134322,4110.516074
Laundry Refreshment,Spar,2022,May,5352.293696,11224.6658
Laundry Refreshment,Spar,2023,May,13134.86582,28413.3066
Laundry Refreshment,Spar,2020,June,14309.39808,24742.15865
Laundry Refreshment,Spar,2021,June,8484.19054,20160.3145
Laundry Refreshment,Spar,2022,June,9401.168116,17475.489
Laundry Refreshment,Spar,2020,July,4059.281326,11332.41722
Laundry Refreshment,Spar,2021,July,4823.237479,8600.868263
Laundry Refreshment,Spar,2022,July,4576.954255,22134.31785
Laundry Refreshment,Spar,2020,August,-1618.153086,4308.494189
Laundry Refreshment,Spar,2021,August,3180.136783,6730.547382
Laundry Refreshment,Spar,2022,August,10899.38526,23898.48167
Laundry Refreshment,Spar,2020,September,11168.44951,31907.81112
Laundry Refreshment,Spar,2021,September,13067.56078,21360.42512
Laundry Refreshment,Spar,2022,September,8467.944214,19521.76096
Laundry Refreshment,Spar,2020,October,2638.506386,8721.263705
Laundry Refreshment,Spar,2021,October,8878.463687,15842.44793
Laundry Refreshment,Spar,2022,October,30381.95408,64279.38657
Laundry Refreshment,Spar,2020,November,12259.80049,23327.22119
Laundry Refreshment,Spar,2021,November,1147.647216,2193.811204
Laundry Refreshment,Spar,2022,November,10286.34543,35266.69713
Laundry Refreshment,Spar,2020,December,7397.122849,19225.92927
Laundry Refreshment,Spar,2021,December,13886.01149,22712.0301
Laundry Refreshment,Spar,2022,December,9092.909749,12532.2412
Laundry Wash,Aldi,2020,January,43135.69622,116736.3
Laundry Wash,Aldi,2021,January,33615.28601,90601.43011
Laundry Wash,Aldi,2022,January,29727.61334,107676.2841
Laundry Wash,Aldi,2023,January,34699.13562,99313.11247
Laundry Wash,Aldi,2020,February,21868.03957,64489.80622
Laundry Wash,Aldi,2021,February,30666.26755,81121.00221
Laundry Wash,Aldi,2022,February,43927.87615,151787.0913
Laundry Wash,Aldi,2023,February,36870.47144,99109.33522
Laundry Wash,Aldi,2020,March,94057.16815,246816.9993
Laundry Wash,Aldi,2021,March,37956.54144,126387.2649
Laundry Wash,Aldi,2022,March,25587.94731,83952.70708
Laundry Wash,Aldi,2023,March,16666.93144,70933.97954
Laundry Wash,Aldi,2020,April,50900.81508,154692.2151
Laundry Wash,Aldi,2021,April,21638.01459,68237.85215
Laundry Wash,Aldi,2022,April,18301.51357,63248.44263
Laundry Wash,Aldi,2023,April,39307.78657,93463.71023
Laundry Wash,Aldi,2020,May,3459.758035,111423.4936
Laundry Wash,Aldi,2021,May,21662.14252,69454.31075
Laundry Wash,Aldi,2022,May,33903.35569,97773.26341
Laundry Wash,Aldi,2023,May,-7286.606355,51894.34272
Laundry Wash,Aldi,2020,June,46683.14211,109213.1571
Laundry Wash,Aldi,2021,June,51947.66238,128662.1174
Laundry Wash,Aldi,2022,June,19279.72802,97756.90112
Laundry Wash,Aldi,2020,July,-5250.617559,49244.96658
Laundry Wash,Aldi,2021,July,18851.25615,66028.08684
Laundry Wash,Aldi,2022,July,42585.59817,142597.0657
Laundry Wash,Aldi,2020,August,54489.5013,153195.4825
Laundry Wash,Aldi,2021,August,29549.63189,156889.5965
Laundry Wash,Aldi,2022,August,21372.57511,113169.9044
Laundry Wash,Aldi,2020,September,45605.24099,120045.8451
Laundry Wash,Aldi,2021,September,51277.37826,123521.1772
Laundry Wash,Aldi,2022,September,22991.71391,91718.88294
Laundry Wash,Aldi,2020,October,43623.95916,141047.0743
Laundry Wash,Aldi,2021,October,39053.46053,108248.4825
Laundry Wash,Aldi,2022,October,30347.88159,92317.65609
Laundry Wash,Aldi,2020,November,46414.69059,119218.8357
Laundry Wash,Aldi,2021,November,26563.29763,77860.17574
Laundry Wash,Aldi,2022,November,2721.736197,80514.86929
Laundry Wash,Aldi,2020,December,-27886.57397,11708.91907
Laundry Wash,Aldi,2021,December,19257.12421,84317.27934
Laundry Wash,Aldi,2022,December,41377.86736,105732.7557
Cleaning,Aldi,2020,January,18813.04807,56725.78655
Cleaning,Aldi,2021,January,20805.48478,49688.25992
Cleaning,Aldi,2022,January,25219.3553,74262.67122
Cleaning,Aldi,2023,January,27490.43088,90894.91366
Cleaning,Aldi,2020,February,11716.22649,46298.30071
Cleaning,Aldi,2021,February,16023.45244,50839.06403
Cleaning,Aldi,2022,February,18374.98972,89841.62252
Cleaning,Aldi,2023,February,29628.69911,127978.6554
Cleaning,Aldi,2020,March,32462.13706,72813.1435
Cleaning,Aldi,2021,March,13352.04997,54979.82777
Cleaning,Aldi,2022,March,33115.94663,98907.27885
Cleaning,Aldi,2023,March,20749.25741,87466.56831
Cleaning,Aldi,2020,April,23114.91826,63271.76817
Cleaning,Aldi,2021,April,20627.60602,57289.09475
Cleaning,Aldi,2022,April,22526.69618,62607.48377
Cleaning,Aldi,2023,April,32060.65272,116778.2999
Cleaning,Aldi,2020,May,18522.70313,50811.59855
Cleaning,Aldi,2021,May,5707.921219,34743.20066
Cleaning,Aldi,2022,May,22028.96729,69001.64196
Cleaning,Aldi,2023,May,185148.0491,298907.7371
Cleaning,Aldi,2020,June,30767.20091,68781.96878
Cleaning,Aldi,2021,June,14060.51618,48956.72866
Cleaning,Aldi,2022,June,32663.33418,86396.83007
Cleaning,Aldi,2020,July,15870.77853,52412.98412
Cleaning,Aldi,2021,July,20620.46458,76261.82265
Cleaning,Aldi,2022,July,33490.556,88291.54763
Cleaning,Aldi,2020,August,30734.61509,82492.27554
Cleaning,Aldi,2021,August,-7472.988205,51646.17578
Cleaning,Aldi,2022,August,16569.28556,76657.26031
Cleaning,Aldi,2020,September,20074.62092,52857.11111
Cleaning,Aldi,2021,September,17098.38941,75789.90691
Cleaning,Aldi,2022,September,21792.5914,80998.42094
Cleaning,Aldi,2020,October,21847.15195,66985.86059
Cleaning,Aldi,2021,October,21518.7144,57225.65402
Cleaning,Aldi,2022,October,46102.34957,114805.7739
Cleaning,Aldi,2020,November,21980.46133,55047.45841
Cleaning,Aldi,2021,November,6098.931948,27407.5628
Cleaning,Aldi,2022,November,28195.88939,100205.5237
Cleaning,Aldi,2020,December,3496.686663,22453.89973
Cleaning,Aldi,2021,December,13477.43575,46953.19098
Cleaning,Aldi,2022,December,23037.29791,74837.05775
Laundry Refreshment,Aldi,2020,January,14945.4902,29532.04436
Laundry Refreshment,Aldi,2021,January,14343.99123,28261.46064
Laundry Refreshment,Aldi,2022,January,20768.81197,49853.95336
Laundry Refreshment,Aldi,2023,January,57935.11607,102065.2255
Laundry Refreshment,Aldi,2020,February,22887.50898,39380.538
Laundry Refreshment,Aldi,2021,February,10854.20596,22504.56493
Laundry Refreshment,Aldi,2022,February,18669.20012,42520.25913
Laundry Refreshment,Aldi,2023,February,36032.96312,79880.01226
Laundry Refreshment,Aldi,2020,March,24426.86323,47005.21532
Laundry Refreshment,Aldi,2021,March,15706.16979,27840.52738
Laundry Refreshment,Aldi,2022,March,28308.91196,67098.94327
Laundry Refreshment,Aldi,2023,March,15476.53179,53222.83782
Laundry Refreshment,Aldi,2020,April,36500.9997,67410.11591
